"","i","asc1","desc1","asc2","desc2","tran12","tran21","p"
"1",1,28.5181450143325,26.7806052812375,0.891665736113029,0.155977152368132,1.29114974935072,6.3151423069422,-363.936397765384
"2",2,28.6622540654908,16.0066713162534,1.64689112788309,0.0995225300734247,3.52899462457772,6.87640874753752,-360.249090208509
"3",3,14.6172678663239,10.911272874323,1.66500625862133,0.216447022623425,3.87378720999349,9.9835128828985,-355.483401013308
"4",4,21.016063784738,12.8332010253046,1.26461494595892,0.167881656696367,5.60932090428859,10.791282846493,-356.930172971085
"5",5,21.4852290391008,12.9437006018336,1.31505152023485,0.0324997028178988,6.86011356695456,10.5300809085348,-359.012888505101
"6",6,21.3223601604047,17.1087890685156,1.16573263550712,0.126740169713567,4.61345282758199,8.84398253653286,-355.237498011578
"7",7,17.607678437553,14.8816335445041,0.666696648656219,0.392293433118482,5.05059820392679,8.31954975198263,-354.291183174125
"8",8,17.6291430844297,14.1683136011754,0.758626798704593,0.0733583000040326,2.69385994932528,6.6540388879017,-351.36209935023
"9",9,18.43939556683,14.698924605973,0.0661453954108087,0.116782178035877,2.95015029840727,6.58513800708393,-349.915911502216
"10",10,17.940287335787,15.3953820781715,0.0860168385412493,0.0828758090139905,2.96966921628645,6.05144472191934,-350.009230578563
"11",11,18.3559046797445,13.9811832930748,0.248701616083694,0.109578245020789,2.27781112717474,4.09753126180783,-351.46305961469
"12",12,17.4307080630203,15.1278818756086,0.333038646687097,0.658706148921702,2.38190225170698,6.85289578491638,-351.908742214248
"13",13,14.6543221423211,11.0615716623714,0.260284844190169,0.926897396348251,2.77897973016689,6.00750875646967,-352.594481763928
"14",14,15.8190083023412,14.1098024076193,0.25130049163597,1.17193950814159,2.3501278793824,4.56227472165242,-353.261239364587
"15",15,17.6676960844369,13.7286233250277,0.54931961689903,0.738701830211335,2.51323881226956,9.18673219749148,-354.313348519138
"16",16,14.1856527917884,13.5636788313783,0.144779729117364,0.0721906757681588,3.51170309826001,4.59277175587848,-353.627676552984
"17",17,18.5107021613624,14.6966389920216,0.369821811699488,0.357296204364778,3.23139345474878,5.37019197704878,-351.981608657649
"18",18,17.6784906251294,13.8627437518485,0.594882315914267,0.281386719454217,2.06346243895096,5.5147174403589,-351.628665350005
"19",19,15.8666154255923,14.5364557035535,0.377401973585688,0.0551740960305317,2.84505210864754,5.26257408725487,-351.009556669112
"20",20,15.8659696126212,15.9485173018066,0.298045464775007,0.202162254395567,2.73824524141724,5.17148782200344,-351.650738996513
"21",21,18.4406837888347,14.8708534147066,0.22218888721087,0.453580925346093,2.90791991189758,5.23384009879908,-351.464461349368
"22",22,19.0994086989125,14.3617620295117,0.501608522360582,0.00837999567021002,3.2650456084596,6.21294993901487,-351.233916198646
"23",23,19.1022548284643,15.5516414324657,0.161198170438012,0.00271949518827643,2.305037479435,6.37090694040615,-350.314327914064
"24",24,14.2654201472701,14.2707689673331,0.718555414641584,0.027269414861255,2.29446361442665,5.9337261821341,-351.980129626123
"25",25,17.0238119601591,13.2557191386432,0.11334029490465,0.184829743949068,2.62652087902315,6.03375250224568,-349.99233355976
"26",26,16.6369885210622,14.8242018797948,0.608604551370107,1.48791011729451,2.40143957500828,6.12142382211808,-353.831221349262
"27",27,16.0406276900927,14.5447582242662,0.555977533553985,1.61947970619031,2.06446294596627,6.71388259278278,-354.706213233557
"28",28,17.4903918736836,14.5871664013142,1.43828224392416,0.774683952828791,2.75600830360295,5.71054071763351,-354.196984591356
"29",29,18.561120519336,14.3993528019714,0.92507311790303,1.82633182891165,2.59442694397584,3.79984033883432,-357.354592314748
"30",30,13.4473910332835,17.7761628834062,0.399905156754158,2.19140610412052,2.39353074984157,5.9189092858322,-356.809679305319
"31",31,14.6542978631482,11.665751146655,0.124849910091898,1.01572004182475,2.90986957707846,6.19498861729072,-352.303080305796
"32",32,14.456911931899,13.1832572695795,0.170307934065017,0.054059490450747,2.90070995908781,7.15383531032038,-350.511831451027
"33",33,19.4912719139469,14.0679551380465,0.179274737923249,0.370343664365135,3.41837365960374,7.5421149111673,-351.357058221665
"34",34,16.5395667794803,16.7524716565902,0.186325873609517,0.306000019113934,2.36510532675448,5.30155118013476,-351.505931914254
"35",35,20.6266410797683,17.8367163607886,0.769454843113059,0.0660883280268119,2.35896643077175,6.13472638390907,-352.544373534463
"36",36,21.2614342799108,14.4331752612561,1.22609882417208,0.150053080025251,2.50878263026324,6.12766486016223,-353.715952423632
"37",37,10.5746343577734,14.4223873378816,1.21877343787972,0.227678275900961,1.94567557385978,6.71258861251704,-357.473062531862
"38",38,22.1374849905706,15.3281674215326,1.46862954340971,0.38016914571103,3.78183101011505,6.80427709760598,-355.655869544616
"39",39,18.8988541588556,15.7058018806409,0.73712808902023,0.299168123942022,2.94807312411696,6.2205656408349,-352.047328397924
"40",40,16.3369449428106,11.1189447048404,0.630173732882405,0.213529238081961,2.53854031567855,4.72921944057869,-352.610733275035
"41",41,18.7824830482672,15.4488183297912,0.0548245865076537,0.0568180567257566,2.34926844709639,6.00524154743967,-349.924304593581
"42",42,18.6415812149536,15.7553424156574,0.176582462578012,0.082420606317252,2.50115885556314,8.31067998536849,-351.734917518271
"43",43,13.6359807844609,11.0884758873686,0.140003551703503,0.0251447700108197,3.22659566544358,6.69501088780866,-351.183844408739
"44",44,14.2558875925515,20.1563009423309,0.314880164591257,0.51193757167671,2.53431732681076,10.9810923640944,-358.784909194524
"45",45,14.6862364080473,11.8003366453917,0.265438493947833,0.0186518055291409,3.09920407652005,8.86722354111044,-351.548220440948
"46",46,16.4512530123824,11.3765478851141,0.505814684574644,0.0122822005150332,3.15820565053915,7.30740035984476,-351.436940263669
"47",47,16.1408854452516,17.179323547553,0.461138469922113,0.789954400818163,3.29257734851445,7.11917666303522,-353.521893173802
"48",48,18.2717213706086,11.2422613846697,0.405943538897132,0.00908312003259639,2.72037002218844,6.33361149500423,-351.653928535685
"49",49,14.5124529348393,13.92381788212,0.232913164746381,0.00236059337338191,3.40211516954213,8.31529117626147,-351.126411815175
"50",50,15.6682050920888,19.9690903900384,1.96735409867548,0.749723649336103,3.11944250495902,7.92518349449724,-358.249101682421
"51",51,19.5544875664965,21.7914687369196,2.14174647159952,0.944916290898875,3.67473175066677,10.4457715297108,-360.295224768869
"52",52,19.90315539327,14.2559810662085,1.70367212543946,0.774547169063574,4.02353814829669,7.02771301737105,-356.167547026164
"53",53,16.1780994449936,14.8383443369778,1.23856969935984,0.854327496634012,3.41929669577468,8.65168723722823,-354.394088572861
"54",54,15.5962465370897,15.7979636872777,1.15494306423321,0.848875611459023,4.53099762477167,8.38680901471614,-355.685666371778
"55",55,14.0875883079294,16.2966974229383,1.11483580725287,0.026078894618793,2.70820417093233,6.12066462471742,-354.012356747452
"56",56,20.9531916810086,14.2748761946715,0.877202110300899,0.661674567655478,2.78884838671832,5.98180585587203,-353.80252853606
"57",57,19.2776722579601,17.4098524973355,0.057374921212095,0.244728827900279,1.64234034550124,5.67573396023841,-352.180600681056
"58",58,23.7467234233407,22.1448416411355,0.403473348395691,0.244539159786955,2.25062563974446,5.58303321040823,-354.768952569568
"59",59,24.9745952341337,18.3758775634102,0.608667935363979,0.142588057907573,2.44468472489535,5.00136190856337,-354.556124871841
"60",60,14.5302252271164,13.545339039108,0.0530112822225309,0.0688776351301567,2.86247889785558,9.14556122042507,-351.570525366248
"61",61,17.032291025226,17.7421907446282,0.0868682462475369,0.311851171234185,3.65765051984249,7.88281108706838,-352.221495397723
"62",62,22.3363605187672,15.5340216391156,0.301938963605895,0.12101508783857,3.99512356310546,8.58674007492291,-353.156095566816
"63",63,14.5342349239586,16.6116654431887,0.863133836025006,0.0344080129510205,3.87056461389755,7.59491452633981,-354.130918347214
"64",64,23.6530524339887,16.4751969301403,0.419457126114566,0.127251926039629,2.74373035277168,6.01334198441052,-353.042283803975
"65",65,15.8403783809957,14.5373376226839,0.292647223553408,0.25522970855971,2.60403523796275,6.23721468585984,-350.748735364365
"66",66,16.7875683297599,12.8594049513025,0.0788821274788779,0.677036599072358,2.32223421346696,5.93735233250273,-351.096697489634
"67",67,17.6529797972864,11.7053140294107,0.0738745951801886,0.724698002560293,2.84470614180667,7.85542222949798,-352.164812997968
"68",68,14.0364404706691,12.1539008960321,0.530739448360607,0.363710516321375,3.28717378689175,5.86800243450881,-352.735805689504
"69",69,17.2368135782442,15.5269076034959,0.111057132204086,0.110788729510959,2.57653341897563,4.66354535888678,-350.690946570691
"70",70,17.9124416691639,16.3446037760275,0.287830061499043,0.321039714098339,2.59329922922243,7.17060406785535,-351.431864666422
"71",71,17.7047107460948,12.0223490592119,0.130562710694476,0.669810554977873,3.0754156459438,6.90005719748233,-351.564929228126
"72",72,12.8197091540919,11.0520864484687,0.600550482455784,0.280920135635004,3.45050576383555,4.40717684220905,-356.280613164537
"73",73,18.0058477729902,13.6241949808102,0.237575116645261,0.331211928533949,2.13439999693002,4.44799129036231,-351.423787134811
"74",74,16.3827278301572,13.4395993526809,0.0548218990432155,0.356557904054827,1.70663791496754,7.85537086098749,-353.757007954127
"75",75,17.6627638336946,12.3076704133086,0.051454051927109,0.250420714663178,2.29595083678881,4.93587533338492,-350.756724404264
"76",76,19.1608258376648,16.4254259870975,0.380871994288141,0.22304854612438,1.82517966390833,4.65099197738975,-351.80159079138
"77",77,18.568638837643,16.2390574132808,0.23480940319949,0.202222139768486,2.77897224206886,6.24699447852632,-350.684352654963
"78",78,22.8672344940491,19.1536815183317,0.621401128727289,0.469234161745757,2.71002409200119,7.49984698718034,-354.602896329044
"79",79,14.202937211335,15.4025806326777,0.366224459226043,0.997097233283318,3.57586199192918,9.05492743702432,-353.830980692007
"80",80,9.96149729039519,16.0508562680124,0.422444223502396,0.304457306159499,2.92281215164176,7.56984267000226,-356.487776028278
"81",81,18.0146220032218,19.4215298615581,1.42481691483545,0.0806334023513212,2.56438380628138,5.41757207300492,-355.293290142673
"82",82,20.1705487770585,12.0662557212836,1.34965513800679,0.0507715224600392,3.08595074671258,6.34673494678349,-354.168163615312
"83",83,17.5301737947474,11.4379466586762,2.09166365857637,0.348477884453812,3.34522022707548,7.51740527230055,-355.347875262319
"84",84,17.949364725662,11.1140887048801,0.967295070623013,0.545840274832642,3.69686008635193,10.8482272732572,-355.629238604447
"85",85,17.9253687021008,17.2249868527626,1.29788052272381,0.716913680467845,3.06808733024828,7.92398358230625,-354.764669051549
"86",86,19.5019770173757,10.9911651453658,1.23367775445256,1.03744646183686,2.50612410522961,5.00361286414281,-356.373065900011
"87",87,12.4752212315855,11.0458156825669,1.59501264445295,0.185072709938137,2.02373672053659,5.42760978079118,-355.433755187325
"88",88,15.6789880397974,11.9109186462513,1.06422556687177,0.401558949722622,1.99519043370424,5.38779990884744,-353.32109440657
"89",89,16.8425622530372,16.2067600984719,1.58708071395753,0.825947487272915,2.70416368469784,5.52878089876312,-355.182612764602
"90",90,17.1107224766644,15.5159096060416,0.113272492976123,0.40498499010497,1.98598454453558,4.50549402041693,-351.37963383016
"91",91,18.700437549251,18.9778843489071,0.078933417579984,0.168203449593549,1.90400183709586,6.1600661630916,-352.540723489694
"92",92,17.9183563091423,19.5398699938676,0.137707548083015,0.241808217699108,2.55455349385874,6.74548332821063,-352.862439475968
"93",93,19.2621228862189,13.0504430732596,0.114373591495137,0.451265078770364,2.06859178758005,4.56667743551253,-351.957068635498
"94",94,19.6789246686152,13.2213730572283,0.185460380566772,0.583246455484267,1.61261354469383,4.14741706088312,-353.630664575543
"95",95,19.5918990082981,15.5170760087492,0.4747755100415,0.194942064118676,2.94012606347078,5.46548443060684,-351.631207467856
"96",96,16.2058027871974,13.0285027379883,0.370417208257047,0.0478749261453269,2.53315918903519,5.66326648651018,-350.399959686989
"97",97,17.3537516193084,14.3746892734231,0.382805165343751,0.459362902845192,2.69074781310221,9.95147442562049,-353.884030149634
