"","i","asc1","desc1","asc2","desc2","tran12","tran21","p"
"1",1,21.4159967144951,13.0542031838559,1.26628790237373,0.225081031049235,1.00273097408245,5.70855051353756,-357.648902020003
"2",2,19.0174713048277,16.7908202711073,1.50370580151063,0.50924375689024,1.56956216175616,5.05904229873665,-352.697141853753
"3",3,21.4595691449783,15.6852647381077,1.68607849085764,0.427169429636933,1.52349723039351,4.49881768294898,-353.712657764744
"4",4,21.5469097042518,16.7776887533723,1.18980165414408,0.370805578393076,2.84397347053299,7.61430343350831,-351.672973827349
"5",5,21.852250989352,14.9080666971356,0.884940233608843,0.405801996155639,3.94543981907649,7.83597231214767,-351.72146281496
"6",6,11.5523927495873,13.2119277852774,0.998862232820519,4.42235292369326,2.26415150877798,5.23472627260557,-356.161634019012
"7",7,11.8874037298001,14.2184462430292,0.943171256843688,2.1819784415641,2.24340072561836,7.36892704819283,-354.096793307145
"8",8,13.5524962719129,12.2365988457527,0.569921259276007,0.0487234243331978,3.8093001089332,10.4279729416903,-350.152481094916
"9",9,13.4986057957888,13.7749019179162,0.821548669316358,0.547125035556927,3.50106138660702,10.6222127080965,-351.595365451146
"10",10,11.9303711485835,13.6345967488164,0.697430421614228,0.271142216516427,3.84850655682461,6.20736544778018,-352.58588662167
"11",11,11.8372543178822,9.46927748308384,0.866754808936546,0.203544247012593,1.87444323817691,5.91825504940728,-352.111974930524
"12",12,13.8688444371445,9.60245505752331,0.294154496181799,0.194454322707674,2.35361485396001,5.87792662526231,-349.146604413949
"13",13,18.3632321600891,11.0235194077922,1.0420775902118,0.0415172633571963,2.93289646897463,8.07460716262467,-350.715021208176
"14",14,20.7256707160692,10.4443344725258,0.992757433209142,0.19124558694537,3.21142687103847,7.80075185645488,-352.533993484152
"15",15,19.2223490337794,19.606376067265,0.822407653075863,0.530073721899318,2.95863289904516,7.21704704460521,-351.808210115156
"16",16,20.382893285941,19.8941799137747,0.978772766806489,0.892155056483203,3.36248629004099,5.49428526358995,-354.005829647048
"17",17,19.0137642787527,15.8950842919774,1.81104896618761,0.757084590305733,3.10010485572313,6.51819880326847,-352.346540635988
"18",18,19.7686600053687,15.2439676431997,1.1583373171956,1.00383444279496,2.3616376683742,5.21607139272989,-351.636203893635
"19",19,14.5878818975614,11.1812089751185,0.0255547467402159,0.664774096234382,2.85196854171233,5.49467939400119,-348.714456633149
"20",20,18.9550508343407,18.1667301210132,0.252964581925294,0.961080495997043,2.40967542042889,6.81731043642086,-350.678183567642
"21",21,19.3519534942678,10.4774698651987,0.0647249070675962,1.52431347241056,3.53937262247159,8.18542208875744,-352.643989340332
"22",22,11.8365490094766,14.0039240789514,0.594512653179822,1.32825883539149,3.2143707149087,12.1853381892957,-354.288753673689
"23",23,12.5988609311607,17.0069509892448,0.22252812352691,0.12168048229253,4.3617618877864,7.44583608825135,-352.638518414427
"24",24,12.2191525197783,8.52952009486516,0.0737085738652817,0.0187748780818393,4.52976680076446,9.33815087057827,-351.85052157656
"25",25,13.8505891896985,14.5335886329489,0.123372639089219,0.475791701805051,2.71742928531241,5.04253309289237,-349.43328622782
"26",26,18.7433918053632,14.1430031113891,0.157167499583066,0.0294000940525102,2.33456038658748,8.09082672492896,-348.774341215639
"27",27,15.6104169260941,16.1310792923316,0.0377128343410863,2.66649528916406,4.19064218170051,9.87808892662412,-353.116612263955
"28",28,19.9628500866033,16.2138825550647,0.00459935198454596,2.10081189676603,5.30367753316218,13.6378430543463,-355.576335607169
"29",29,21.0016280794801,18.3337756670242,0.433493240757052,1.47271986251041,4.91745838777357,9.44454854238284,-354.21034410901
"30",30,18.4859781551613,12.5445287231896,0.999936960116988,0.123518095747376,2.93682391892508,5.92498559131555,-349.59225691553
"31",31,17.8241118894744,13.0321370152812,1.4382828306475,0.17823292030119,2.20177510506789,5.26114881506328,-350.275544462459
"32",32,18.9035359031309,17.3986998012971,0.174977412620403,0.89361743645571,1.95609974401872,6.46090192712769,-350.591068253775
"33",33,19.1674088719376,14.7734954402697,0.0854227595246931,0.416611057842021,2.64585048359985,4.3395663991248,-349.092425132438
"34",34,17.5468817728587,14.7712336086108,0.0157341024118215,1.00120212614763,3.07673155070261,6.18984020052658,-348.859651914694
"35",35,18.4685322083382,12.6816539544491,0.571604244553793,0.424736986401909,2.84111812985592,6.11397314057201,-349.016156385958
"36",36,17.213227196825,16.008452049749,0.315849309067543,0.127463968186053,2.20444984642588,4.29996773335589,-348.30083656769
"37",37,16.8755572982576,14.069420230625,0.510654854819136,0.129097278329207,2.39246053422507,4.14319902780333,-348.807289654782
"38",38,17.3583164224283,17.6653829091605,0.0418960438336619,0.455352925265475,2.09873688231819,8.2509462582914,-351.079134157854
"39",39,18.1715660940042,17.8877685376896,0.231838664762145,0.622847032780519,3.14881016402094,6.78820108520467,-349.714543445969
"40",40,21.2353535686559,21.5783978348001,0.586399649791324,0.608000380810428,2.78335353412027,5.7858642636956,-352.796560060507
"41",41,19.6885947364712,8.19452434871977,1.0710972750438,0.405527565762713,3.35831513025558,5.40428045615466,-355.651237158126
"42",42,13.3763841258542,8.19734764853117,0.26101348236831,0.764926708360786,2.75165520673863,5.11498585320243,-352.162207079084
"43",43,12.2354705803907,10.1827381306107,0.159439790737633,0.133498859042341,2.62783663942215,4.31076509499423,-350.394581933143
"44",44,12.2013173499166,8.81241445571086,0.0450775445163068,0.140324042773919,2.72030813361015,5.8367988668103,-349.992610116608
"45",45,11.1627899765986,13.6696441194798,0.0166534177074159,0.183578667771871,1.96300313862744,6.62468675328758,-351.018457172643
"46",46,15.3552262766227,13.7601710023675,0.450458801020396,0.316846685862798,2.16395478895416,4.36189980210539,-348.752043876375
