Family,Species,,Range Size ,IUCN Red List Category ,IUCN.census,Roddy.pop,google.pop,source,final.pop,rangesize,,,,,,,,,,,,,,,,,,,,,,,,,
Ursidae,Helarctos_malayanus,Sun Bear,28060736.31,Vulnerable,,,2500.00,www.ourendangeredworld.com,2500.00,0,,,,,,,,,,,,,,,,,,,,,,,,,
Herpestidae,Helogale_parvula,Common Dwarf Mongoose,47221419.56,Least Concern,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Viverridae,Hemigalus_derbyanus,Banded Civet,534875.8245,Near Threatened,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Herpestidae,Herpestes_javanicus,Javan Mongoose,138493568.2,Least Concern,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Mustelidae,Ictonyx_striatus,Zorilla,23748939.32,Least Concern,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Felidae,Leopardus_colocolo,Pampas Cat,6862156.742,Near Threatened,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Felidae,Leopardus_geoffroyi,Geoffroy's Cat,3593418.737,Least Concern,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Felidae,Leopardus_pardalis,Ocelot,36989257.33,Least Concern,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Felidae,Leopardus_tigrinus,Northern Tiger Cat,12576422.48,Vulnerable,9570.00,,9570.00,animalia.bio,9570.00,0,,,,,,,,,,,,,,,,,,,,,,,,,
Felidae,Leptailurus_serval,Serval,135633288.3,Least Concern,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Mustelidae,Lutra_lutra,Eurasian Otter,119983642,Near Threatened,209440.00,,,,209440.00,1,,,,,,,,,,,,,,,,,,,,,,,,,
Canidae,Lycaon_pictus,African Wild Dog,50059088.53,Endangered,1409.00,105396.76,6600.00,animalia.bio,4004.50,1,,,,,,,,,,,,,,,,,,,,,,,,,
Felidae,Lynx_lynx,Eurasian Lynx,54009007.46,Least Concern,,476552.54,75000.00,animalia.bio,75000.00,1,,,,,,,,,,,,,,,,,,,,,,,,,
Felidae,Lynx_rufus,Bobcat,18734406.01,Least Concern,,,2950000.00,Kelly et al. 2016,2950000.00,0,,,,,,,,,,,,,,,,,,,,,,,,,
Mustelidae,Martes_americana,American Marten,38801071.75,Least Concern,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Mustelidae,Martes_flavigula,Yellow-throated Marten,17734093.18,Least Concern,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Mustelidae,Martes_foina,Beech Marten,58549800.78,Least Concern,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Mustelidae,Martes_martes,Pine Marten,67304496.8,Least Concern,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Mustelidae,Martes_melampus,Japanese Marten,412648.972,Least Concern,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Mustelidae,Martes_zibellina,Sable,20408481.36,Least Concern,,,2300000.00,a-z-animals.com,2300000.00,0,,,,,,,,,,,,,,,,,,,,,,,,,
Mustelidae,Meles_meles,Eurasian Badger,72381433.87,Least Concern,,,562000.00,ptes.org,562000.00,1,,,,,,,,,,,,,,,,,,,,,,,,,
Mustelidae,Mellivora_capensis,Honey Badger,122998336.8,Least Concern,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Mustelidae,Melogale_moschata,Small-toothed Ferret Badger,2182063.312,Least Concern,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Mephitidae,Mephitis_macroura,Hooded Skunk,21950321.86,Least Concern,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Mephitidae,Mephitis_mephitis,Striped Skunk,44081897.16,Least Concern,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Phocidae,Mirounga_angustirostris,Northern Elephant Seal,8086512.98,Least Concern,110000.00,,150000.00,,130000.00,0,,,,,,,,,,,,,,,,,,,,,,,,,
Phocidae,Monachus_schauinslandi,Hawaiian Monk Seal,390924.864,Endangered,632.00,,1209.00,animalia.bio,920.50,0,,,,,,,,,,,,,,,,,,,,,,,,,
Mustelidae,Mustela_altaica,Altai Weasel,8564016.08,Near Threatened,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Mustelidae,Mustela_erminea,Stoat,195944398.6,Least Concern,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Mustelidae,Mustela_frenata,Long-tailed Weasel,176654900.1,Least Concern,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Mustelidae,Mustela_itatsi,Japanese Weasel,424470.8553,Near Threatened,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Mustelidae,Mustela_lutreola,European Mink,33960247.59,Critically Endangered,,,30000.00,animalia.bio,30000.00,1,,,,,,,,,,,,,,,,,,,,,,,,,
Mustelidae,Mustela_nigripes,Black-footed Ferret,5521897.296,Endangered,206.00,,206.00,animalia.bio,206.00,0,,,,,,,,,,,,,,,,,,,,,,,,,
Mustelidae,Mustela_nivalis,Least Weasel,193606464.4,Least Concern,,562737196.4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Mustelidae,Mustela_sibirica,Siberian Weasel,21508304.18,Least Concern,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Nandiniidae,Nandinia_binotata,African Palm Civet,18557634.93,Least Concern,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Procyonidae,Nasua_nasua,South American Coati,31522550.56,Least Concern,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Felidae,Neofelis_nebulosa,Clouded Leopard,28071592.68,Vulnerable,4640.00,,9000.00,a-z-animals.com,6820.00,0,,,,,,,,,,,,,,,,,,,,,,,,,
Canidae,Nyctereutes_procyonoides,Raccoon Dog,54191109.1,Least Concern,,80587512.92,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
