,x
1,Potos_flavus
2,Lutra_lutra
3,Phoca_vitulina
4,Mustela_nivalis
5,Felis_catus
6,Mustela_erminea
7,Vulpes_vulpes
8,Martes_martes
9,Meles_meles
10,Canis_lupus
11,Lynx_lynx
12,Gulo_gulo
13,Ursus_arctos
14,Halichoerus_grypus
15,Ursus_maritimus
16,Arctocephalus_pusillus
17,Procyon_lotor
18,Genetta_genetta
19,Martes_foina
20,Canis_latrans
21,Nyctereutes_procyonoides
22,Mirounga_angustirostris
23,Pusa_hispida
24,Martes_flavigula
25,Enhydra_lutris
26,Helogale_parvula
27,Cystophora_cristata
28,Crocuta_crocuta
29,Leptailurus_serval
30,Felis_chaus
31,Prionailurus_bengalensis
32,Zalophus_californianus
33,Eumetopias_jubatus
34,Leopardus_pardalis
35,Urocyon_cinereoargenteus
36,Eira_barbara
37,Suricata_suricatta
38,Odobenus_rosmarus
39,Ursus_americanus
40,Mellivora_capensis
41,Arctocephalus_forsteri
42,Herpestes_javanicus
43,Erignathus_barbatus
44,Felis_silvestris
45,Nasua_nasua
46,Caracal_caracal
47,Puma_concolor
48,Galidia_elegans
49,Lynx_rufus
50,Phocarctos_hookeri
51,Otocyon_megalotis
52,Martes_americana
53,Genetta_maculata
54,Chrysocyon_brachyurus
55,Leopardus_tigrinus
56,Ictonyx_striatus
57,Genetta_tigrina
58,Genetta_pardina
59,Panthera_leo
60,Panthera_pardus
61,Lycaon_pictus
62,Atilax_paludinosus
63,Acinonyx_jubatus
64,Nandinia_binotata
65,Mustela_lutreola
66,Mustela_frenata
67,Bassariscus_astutus
68,Paguma_larvata
69,Prionodon_linsang
70,Callorhinus_ursinus
71,Mephitis_mephitis
72,Spilogale_putorius
73,Martes_melampus
74,Viverricula_indica
75,Mustela_sibirica
76,Arctictis_binturong
77,Mephitis_macroura
78,Prionailurus_viverrinus
79,Mustela_nigripes
80,Taxidea_taxus
81,Monachus_schauinslandi
82,Spilogale_gracilis
83,Melogale_moschata
84,Vulpes_corsac
85,Tremarctos_ornatus
86,Vulpes_macrotis
87,Panthera_tigris
88,Phoca_largha
89,Helarctos_malayanus
90,Cuon_alpinus
91,Vormela_peregusna
92,Uncia_uncia
93,Pusa_sibirica
94,Leopardus_geoffroyi
95,Galictis_vittata
96,Ursus_thibetanus
97,Atelocynus_microtis
98,Neofelis_nebulosa
99,Hemigalus_derbyanus
100,Cryptoprocta_ferox
101,Leopardus_colocolo
102,Speothos_venaticus
103,Ailurus_fulgens
104,Mustela_altaica
105,Martes_zibellina
106,Mustela_itatsi
107,Felis_margarita
108,Ailuropoda_melanoleuca
109,Fossa_fossana
110,Felis_nigripes
