"","x"
"1",81.492306
"2",80.82971
"3",81.841825
"4",81.365467
"5",81.536103
"6",81.900125
"7",80.784718
"8",80.881775
"9",82.765246
"10",80.328441
"11",81.728496
"12",80.421606
"13",83.037274
"14",81.988361
"15",82.80491
"16",81.640268
"17",80.677285
"18",81.354881
"19",81.469826
"20",82.255213
"21",82.159366
"22",81.302262
"23",80.827115
"24",82.172015
"25",81.293415
"26",81.605854
"27",82.308289
"28",81.512321
"29",82.093611
"30",80.43855
"31",81.245159
"32",83.167793
"33",81.246627
"34",82.048707
"35",82.241202
"36",82.065279
"37",81.584849
"38",81.228256
"39",80.16072
"40",81.051348
"41",80.2054
"42",80.48952
"43",82.511945
"44",81.640958
"45",80.590696
"46",81.048654
"47",81.120704
"48",81.46055
"49",81.045253
"50",81.746026
"51",81.62534
"52",81.823574
"53",80.720725
"54",81.739551
"55",82.100841
"56",80.659304
"57",80.886204
"58",79.91149
"59",82.312418
"60",80.095426
"61",80.399092
"62",79.657672
"63",81.148021
"64",82.038012
"65",82.107451
"66",82.476652
"67",79.90363
"68",82.222729
"69",81.464228
"70",81.911638
"71",82.002011
"72",82.006886
"73",82.231671
"74",80.561071
"75",80.84135
"76",81.158625
"77",81.544719
"78",79.899177
"79",82.461838
"80",79.376239
"81",81.720519
"82",83.0073350000001
"83",81.866477
"84",81.565363
"85",80.834164
"86",81.154081
"87",82.216766
"88",81.531255
"89",82.584837
"90",81.378421
"91",80.127416
"92",83.163194
"93",82.209391
"94",82.102886
"95",80.195892
"96",81.500593
"97",81.47476
"98",83.037691
"99",81.411243
"100",80.696637
