Our data ,km^2 ,Scientific data,km^2,Final Published,
Acinonyx jubatus,78195247.86,Acinonyx jubatus (Africa),19064627,21775322,
,,Acinonyx jubatus (Asia),2710695,,
Canis lupus,296157519.2,Canis lupus (Europe),6074846,22424810,
,,Canis lupus (North America),16349964,,
Chrysocyon brachyurus,26118107.07,Chysocyon brachyurus ,3420042.4,3420042.4,
Crocuta crocuta,198529511.1,Crocuta crocuta ,16838810,16838810.0,
Eira barbara,34735887.49,Eira barbara ,1062902,1062902.4,
Felis silvestris,280902548.4,Felis silvestris,4254032,4254032.0,
Gulo gulo,50383153.4,Gulo gulo,2074878,2074877.8,
Leopardus pardalis,36989257.33,Leopardus pardalis,2118876,2118875.6,
Leptailurus serval,135633288.3,Leptailurus serval,18747059,18747059.3,
Lutra lutra,119983642,Lutra lutra (Africa),550308,6875291,
,,Lutra lutra (Europe),6324984,,
Lynx lynx,54009007.46,Lynx lynx,5174066,5174066,
Mustela lutreola,33960247.59,Mustela lutreola,3612346,3612346,
Mustela nigripes,5521897.296,Mustela nigripes,1997280,1997280,
Panthera leo,196892010.8,Panthera leo,19529625,19529625,
Panthera pardus,199687819.4,Panthera pardus (Africa),24324428,24544214,
,,Panthera pardus (Europe) ,219786,,
Panthera tigris,72672200.86,Panthera tigris ,8864559,8864559,
Puma concolor,143074528.1,Puma concolor,13417342,13417342,
Ursus arctos,88309707.22,Ursus arctos (Europe),6027897,17634224,
,,Ursus arctos (North America),11606327,,
