"","species","hap.chrom","range.size","tip.rate"
"Meles_meles","Meles_meles",22,1,0.105229462313226
"Mellivora_capensis","Mellivora_capensis",20,1,0.0362227614342489
"Melogale_moschata","Melogale_moschata",19,0,0
"Mustela_altaica","Mustela_altaica",22,0,0.145383027578288
"Mustela_erminea","Mustela_erminea",22,1,0.198731575844018
"Mustela_frenata","Mustela_frenata",21,1,0.119385672370257
"Mustela_itatsi","Mustela_itatsi",19,0,0
"Mustela_lutreola","Mustela_lutreola",19,1,0
"Mustela_nigripes","Mustela_nigripes",19,0,0
"Mustela_nivalis","Mustela_nivalis",21,1,0
"Mustela_sibirica","Mustela_sibirica",19,0,0
"Taxidea_taxus","Taxidea_taxus",16,0,0.0988784937562186
"Vormela_peregusna","Vormela_peregusna",19,0,0
"Arctictis_binturong","Arctictis_binturong",21,0,0.0551619870362711
"Genetta_genetta","Genetta_genetta",27,1,0.175034880075727
"Genetta_maculata","Genetta_maculata",26,0,0
"Genetta_pardina","Genetta_pardina",26,0,0
"Genetta_tigrina","Genetta_tigrina",27,0,1.01082696765053
"Hemigalus_derbyanus","Hemigalus_derbyanus",21,0,0.0703985947314114
"Paguma_larvata","Paguma_larvata",22,0,0.110323974072542
"Prionodon_linsang","Prionodon_linsang",17,0,0.0473181179086111
"Viverricula_indica","Viverricula_indica",18,1,0.0398781022122816
"Arctocephalus_forsteri","Arctocephalus_forsteri",18,0,0
"Arctocephalus_pusillus","Arctocephalus_pusillus",18,1,0
"Callorhinus_ursinus","Callorhinus_ursinus",18,1,0
"Eumetopias_jubatus","Eumetopias_jubatus",18,1,0
"Phocarctos_hookeri","Phocarctos_hookeri",18,0,0
"Zalophus_californianus","Zalophus_californianus",18,1,0
"Atelocynus_microtis","Atelocynus_microtis",37,0,0.0637776984950121
"Canis_latrans","Canis_latrans",39,0,0
"Canis_lupus","Canis_lupus",39,1,0
"Chrysocyon_brachyurus","Chrysocyon_brachyurus",38,0,0.13431977778136
"Cuon_alpinus","Cuon_alpinus",39,1,0
"Lycaon_pictus","Lycaon_pictus",19,1,2.1986408222301
"Nyctereutes_procyonoides","Nyctereutes_procyonoides",21,1,0.0978349069860711
"Otocyon_megalotis","Otocyon_megalotis",36,0,0.427989979727399
"Speothos_venaticus","Speothos_venaticus",37,0,0
"Urocyon_cinereoargenteus","Urocyon_cinereoargenteus",33,1,0.424576166841451
"Vulpes_corsac","Vulpes_corsac",18,0,0
"Vulpes_macrotis","Vulpes_macrotis",25,0,0.433924005153283
"Vulpes_vulpes","Vulpes_vulpes",18,1,0.238599307537091
"Atilax_paludinosus","Atilax_paludinosus",18,0,0
"Helogale_parvula","Helogale_parvula",18,1,0
"Herpestes_javanicus","Herpestes_javanicus",18,1,0
"Suricata_suricatta","Suricata_suricatta",18,1,0
"Bassariscus_astutus","Bassariscus_astutus",19,0,0
"Nasua_nasua","Nasua_nasua",19,1,0
"Potos_flavus","Potos_flavus",19,1,0
"Procyon_lotor","Procyon_lotor",19,1,0
"Mephitis_macroura","Mephitis_macroura",25,0,0
"Mephitis_mephitis","Mephitis_mephitis",25,1,0
"Spilogale_gracilis","Spilogale_gracilis",30,0,0
"Spilogale_putorius","Spilogale_putorius",32,0,0.642359772861585
"Crocuta_crocuta","Crocuta_crocuta",20,1,0.0254881548770399
"Cryptoprocta_ferox","Cryptoprocta_ferox",21,0,0.0986729231878163
"Fossa_fossana","Fossa_fossana",21,0,0.0893436600309344
"Galidia_elegans","Galidia_elegans",22,0,0.148009384781724
"Cystophora_cristata","Cystophora_cristata",17,1,0
"Erignathus_barbatus","Erignathus_barbatus",17,1,0
"Halichoerus_grypus","Halichoerus_grypus",16,1,0
"Mirounga_angustirostris","Mirounga_angustirostris",17,0,0
"Monachus_schauinslandi","Monachus_schauinslandi",17,0,0
"Phoca_largha","Phoca_largha",16,0,0
"Phoca_vitulina","Phoca_vitulina",16,1,0
"Pusa_hispida","Pusa_hispida",16,1,0
"Pusa_sibirica","Pusa_sibirica",16,0,0
"Nandinia_binotata","Nandinia_binotata",19,0,0
"Odobenus_rosmarus","Odobenus_rosmarus",16,1,0.0404639679493003
