,asc1,desc1,asc2,desc2,tran12,tran21,p
201,0.001644656,0.006225949,0.16567892,0.094747307,0.037078132,0.041985296,-384.5985467
202,0.006123628,0.007080318,0.173231243,0.10171867,0.041303011,0.03994186,-385.9141255
203,0.005054964,0.00187011,0.203152413,0.13927457,0.042679973,0.050840606,-388.6718994
204,0.001039452,0.005605299,0.18128535,0.145892294,0.053326337,0.051144521,-388.1423017
205,0.001327473,0.002728903,0.141278154,0.0789278,0.041190854,0.04810688,-386.0606907
206,0.002720903,0.003652072,0.158797093,0.120940524,0.043519202,0.026829769,-383.7765628
207,0.007337895,0.004758625,0.139605777,0.093667545,0.041159276,0.029499333,-385.4722314
208,0.003537562,0.003946722,0.141189261,0.103573908,0.041790833,0.03536406,-384.0172398
209,0.005144905,0.001235243,0.175067009,0.105511599,0.038410058,0.036641381,-384.0077018
210,0.000358921,0.002118823,0.171619143,0.115050226,0.045262819,0.025411219,-382.9919346
211,0.00060742,0.001377589,0.173915915,0.112759335,0.043411596,0.028126738,-382.4486701
212,0.000647351,0.001909725,0.169901303,0.120101359,0.038334828,0.038916741,-383.129453
213,0.000103827,0.003392998,0.172918787,0.089570709,0.051813809,0.046719365,-384.2847452
214,0.002903204,0.002743043,0.16491478,0.123000691,0.0469907,0.041977689,-384.2853428
215,0.000980552,0.003408996,0.150366491,0.108876514,0.058826653,0.040706056,-384.5175447
216,0.001228359,0.000120212,0.170971223,0.115958496,0.042858395,0.038341936,-382.6254394
217,0.001322929,0.00032248,0.147690461,0.114434502,0.044328235,0.028582118,-382.8773645
218,0.004380492,0.002206281,0.182298264,0.108468018,0.043295062,0.039379845,-384.2465054
219,0.006339193,0.002476627,0.121141633,0.103788552,0.047683138,0.038780144,-386.6825588
220,0.008093605,0.000696468,0.152840273,0.094443288,0.054212295,0.039492911,-385.938319
221,0.013481397,0.002124619,0.159252041,0.130663947,0.040848464,0.027779445,-387.021904
222,0.008610457,0.003486058,0.159062078,0.141623363,0.038715225,0.021306325,-387.535685
223,0.005355469,0.001923406,0.149342106,0.14588035,0.035263614,0.040101173,-387.4625887
224,0.004291005,0.000644589,0.151265126,0.105154582,0.047813609,0.030207566,-383.5435548
225,0.005372492,0.009447737,0.161038765,0.094253027,0.048058892,0.04615737,-387.4461755
226,0.001995201,0.000861791,0.144392083,0.097758571,0.050961759,0.028004632,-383.8155991
227,0.001167706,6.82E-05,0.148480118,0.07867677,0.054472433,0.038544188,-384.6471643
228,0.001738023,0.006101375,0.161817263,0.072476166,0.046455531,0.034196577,-385.2141294
229,0.001683586,0.005749893,0.150633078,0.103072296,0.035390715,0.033368104,-383.6387654
230,0.001251278,0.002508996,0.198080089,0.115121184,0.04592394,0.034284279,-383.8120625
231,0.002494117,0.000711512,0.155633578,0.080969031,0.060065646,0.04876691,-386.4442554
232,0.002232769,0.005904711,0.162811947,0.12844038,0.065717447,0.034583003,-387.9729984
233,0.00099196,0.004923563,0.156884612,0.085274295,0.039169451,0.026899703,-383.3179555
234,0.001637681,0.003724878,0.166884474,0.104671262,0.037099983,0.025335224,-382.9759
235,0.005500613,0.002377523,0.147835265,0.109435224,0.030445819,0.025144724,-384.8507887
236,0.00257022,0.001806903,0.168977787,0.101094256,0.039095891,0.03637326,-383.0182193
237,0.002834203,0.006550236,0.161028424,0.100908457,0.043570885,0.03444891,-383.8162029
238,0.001935965,0.005821815,0.210191668,0.12459488,0.039924971,0.040174745,-386.2098173
239,0.000274877,0.006210672,0.163442026,0.099003033,0.053446971,0.028129237,-384.3673246
240,0.000586239,0.004054986,0.152425329,0.090021744,0.048505193,0.040016342,-383.3735637
241,0.005177604,0.002880652,0.187600474,0.125518339,0.049721771,0.024533758,-386.3494583
242,0.003968103,0.003272249,0.16600889,0.120254834,0.049674926,0.034051619,-384.2522559
243,0.001868412,0.001205305,0.160891525,0.109234738,0.040238966,0.030303484,-382.388259
244,0.000135432,0.00573604,0.178314295,0.102878476,0.04309191,0.02696369,-383.082041
245,0.000198881,0.004192947,0.19382684,0.100932121,0.0408436,0.033397341,-383.2963369
246,0.00049213,0.000334009,0.17294111,0.139242228,0.0443222,0.035751158,-383.6059535
247,0.000200679,0.004416273,0.189662911,0.135747938,0.047454581,0.024115351,-385.4350795
248,6.13E-05,0.00266392,0.158132219,0.118499596,0.032520857,0.036753773,-383.8404621
249,0.000318156,0.005480565,0.178035148,0.103597266,0.033885154,0.034243222,-383.4261538
250,0.00049542,0.00301625,0.164858158,0.107398387,0.032158264,0.028505967,-382.9894934
251,0.000474765,0.007636495,0.173536925,0.088881288,0.031671743,0.033132503,-384.3764108
252,0.00319644,0.009478422,0.152355541,0.088703704,0.036304805,0.020663385,-385.9020519
253,0.004517,0.008376244,0.163092763,0.127029502,0.036200373,0.03856611,-386.7115605
254,0.005159191,0.006276622,0.188149487,0.078823319,0.046999697,0.03838601,-387.2377842
255,0.001836818,0.010096905,0.141580752,0.121352734,0.042147762,0.034518883,-385.7456674
256,0.000552985,0.003261354,0.162118875,0.103254368,0.035182804,0.028816227,-382.5193321
257,0.002500776,0.003457663,0.166606292,0.066303471,0.033315014,0.028245079,-386.4768862
258,0.006842672,0.005993788,0.173962748,0.077555258,0.038550387,0.036987458,-386.8973554
259,0.00414578,0.000334908,0.156746288,0.101947505,0.044513966,0.026902768,-383.4848735
260,0.004955361,0.002926741,0.146373721,0.088365467,0.042337496,0.02597502,-384.5826738
261,0.00081943,0.002006018,0.150823904,0.118241364,0.034705054,0.03263965,-383.1959236
262,0.001608241,0.000371997,0.191701396,0.106225882,0.031788539,0.038997501,-385.3134285
263,0.00135629,0.005891148,0.1395965,0.107686769,0.055947376,0.043794261,-385.6828565
264,4.23E-05,0.000956082,0.137988689,0.1088853,0.052270674,0.037752321,-383.222737
265,0.000191058,0.001807311,0.180249212,0.103500949,0.058813254,0.038315761,-384.1397494
266,0.001228193,0.002073268,0.124762266,0.129243875,0.056385168,0.031666608,-386.1597218
267,0.001380835,0.002017673,0.132133307,0.09919623,0.044821401,0.035339503,-383.5466018
268,0.000706195,0.000787462,0.186502382,0.089835538,0.041154872,0.058219454,-387.7240453
269,6.06E-05,0.001796263,0.1664768,0.099253586,0.048011184,0.050171345,-383.9653535
270,0.000866759,0.000748507,0.160187647,0.099293568,0.047439727,0.036926294,-382.3479534
271,0.000434162,0.00235201,0.145391354,0.099589488,0.049128216,0.036754552,-382.7752403
272,0.000229081,0.002460389,0.172275505,0.083452847,0.046477103,0.03939272,-383.5043081
273,0.003971568,0.003643904,0.132692942,0.08280287,0.037097792,0.03169517,-385.149702
274,0.004302743,0.003133341,0.164404309,0.113620755,0.061974491,0.062043779,-389.4211733
275,0.001030317,0.001691476,0.162186141,0.09732837,0.061374348,0.053602239,-385.881305
