"","species","hap.chrom","range.size","tipRates"
"Acinonyx_jubatus","Acinonyx_jubatus",19,1,0
"Caracal_caracal","Caracal_caracal",19,1,0
"Felis_catus","Felis_catus",19,1,0
"Felis_chaus","Felis_chaus",19,0,45.9900240397463
"Felis_margarita","Felis_margarita",19,1,0
"Felis_nigripes","Felis_nigripes",19,0,35.0932585900024
"Felis_silvestris","Felis_silvestris",19,1,57.4308334051108
"Leopardus_colocolo","Leopardus_colocolo",18,0,0
"Leopardus_geoffroyi","Leopardus_geoffroyi",18,0,18.0808317719656
"Leopardus_pardalis","Leopardus_pardalis",18,1,46.9306730571606
"Leopardus_tigrinus","Leopardus_tigrinus",18,0,344.217397162873
"Leptailurus_serval","Leptailurus_serval",19,1,32.8829098304768
"Lynx_lynx","Lynx_lynx",19,1,49.3243647457151
"Lynx_rufus","Lynx_rufus",19,0,6.89778063771838
"Neofelis_nebulosa","Neofelis_nebulosa",19,0,13.0108473033211
"Panthera_leo","Panthera_leo",19,1,0
"Panthera_pardus","Panthera_pardus",19,1,64.4081606861209
"Panthera_tigris","Panthera_tigris",19,1,71.104440612076
"Prionailurus_bengalensis","Prionailurus_bengalensis",19,1,3.69749593402677
"Prionailurus_viverrinus","Prionailurus_viverrinus",19,0,0
"Puma_concolor","Puma_concolor",19,1,0
"Uncia_uncia","Uncia_uncia",19,0,11.9053538794535
"Ailuropoda_melanoleuca","Ailuropoda_melanoleuca",21,0,9.50008851685039
"Helarctos_malayanus","Helarctos_malayanus",37,0,16.7993384335248
"Tremarctos_ornatus","Tremarctos_ornatus",26,0,0
"Ursus_americanus","Ursus_americanus",37,0,0
"Ursus_arctos","Ursus_arctos",37,1,15.9640979439325
"Ursus_maritimus","Ursus_maritimus",37,1,0
"Ursus_thibetanus","Ursus_thibetanus",37,1,13.9944177106211
"Ailurus_fulgens","Ailurus_fulgens",18,0,30.4398808262623
"Eira_barbara","Eira_barbara",19,1,39.7141443396334
"Enhydra_lutris","Enhydra_lutris",19,1,0
"Galictis_vittata","Galictis_vittata",19,0,0
"Gulo_gulo","Gulo_gulo",21,1,58.7965265567033
"Ictonyx_striatus","Ictonyx_striatus",19,0,135.275555222138
"Lutra_lutra","Lutra_lutra",18,1,43.4290438522735
"Martes_americana","Martes_americana",19,1,0
"Martes_flavigula","Martes_flavigula",20,0,16.9620192071266
