"","i","asc1","desc1","asc2","desc2","tran12","tran21","p"
"1",1,17.4322979888528,7.48495189835063,0.453007467917786,0.083907662200656,4.17523891462238,19.2603644345313,-361.868238698514
"2",2,15.1598953445862,17.9507725107915,0.523720244251128,0.746149415870492,7.24413093810651,9.21387378414653,-358.8430456538
"3",3,21.6293378933693,17.0979577361657,1.77375146354412,0.852957802949252,1.87448483426799,2.36194043901317,-358.627514933375
"4",4,11.5330041258071,8.60253967753672,0.837020060718049,0.291796973940786,1.75861477692174,2.93443348707973,-355.369760848844
"5",5,15.349595411062,13.4411639891139,0.759325224891945,0.287691882789667,1.2887764477332,5.26334799703415,-351.517039852832
"6",6,14.169648319328,14.6695737277088,0.225724043937196,0.21428124588262,3.6482145136783,6.47900244930224,-349.792247226149
"7",7,18.1922899450172,16.3084110997374,0.115375703489068,0.357625540389733,3.10576780838352,6.64398073003666,-348.422675926945
"8",8,17.3103956050199,11.9582096927312,0.122360887039734,0.182690891667073,3.99315100889644,6.22027197328848,-349.483986904286
"9",9,20.2686752056583,14.9627209099433,0.0624124226445204,0.195805939118115,2.99261563258679,5.34914124671052,-348.512394707109
"10",10,14.91987616844,10.8860217640117,0.154440226488679,0.297881218598051,2.27133553585796,6.41624393160379,-348.470238045648
"11",11,15.7460755083971,11.9964587848063,0.263812172307231,0.116466254610269,2.29751263400623,7.89440603393528,-349.057945499801
"12",12,16.5998276823795,14.5969787676567,0.0931689902467535,0.299902860462936,2.57296677914621,7.50478515077783,-348.132828223714
"13",13,18.275993961113,13.519248343324,0.235619773341397,0.219228854600197,2.84877946656181,7.76794104559166,-348.45193004226
"14",14,17.7205045316369,13.2232148993281,0.246403820826732,0.121488271207466,2.75322697454371,7.80264887751604,-348.291378656533
"15",15,17.9829244584398,14.7805841329308,0.125659828952849,0.0230009871480984,3.94107371624702,5.81501475432757,-349.360017309852
"16",16,20.1898945647687,12.2660593046574,0.0440076447935971,0.25391168348786,3.1069503077464,8.30388913682778,-349.863902314751
"17",17,12.6152250445596,15.9527400019254,0.352299955452774,0.20876576423269,3.26817219701742,7.85577001062873,-350.994890000831
"18",18,16.4355238420174,15.3964998382336,0.192917487249724,0.161036025092463,4.38815986371355,8.64873090797788,-349.617432609763
"19",19,15.8622028190849,13.1614789476093,0.18382589028886,0.552032118247973,3.30457718162026,8.27214959026877,-348.854480756999
"20",20,16.0182478322262,12.5486783548603,0.23572667753005,0.884294043268682,2.79923254363586,6.673291527602,-349.01395458904
"21",21,14.7010682004058,13.8669105768821,0.339926899674917,2.66007378591116,3.00804071737059,6.06726885620805,-352.744105010555
"22",22,16.5596252466683,13.7573047683207,0.214087341174964,0.585274078894075,3.93228739427914,4.61686407025373,-352.788855191016
"23",23,17.8964406334597,13.2375807015109,0.398786148181058,0.876929077244489,1.78423061291042,5.4242029464868,-350.205503731317
"24",24,15.5345974750867,13.4180111278437,0.487444253143838,0.0517964886885369,1.95052183251863,5.4955233593189,-348.179080038361
"25",25,15.672887866062,14.4419461789776,0.0113590129159986,0.146920176961089,2.27203250208555,5.30952577700192,-347.284286988715
"26",26,19.4369793042199,12.3211530317534,0.529203574371386,0.0832818288297298,3.00958848883968,6.40500910820234,-349.274602787538
"27",27,15.2423316962125,10.7723435359021,0.490115451852947,0.171075458925156,2.09170945508624,8.29567993270008,-351.177068086894
"28",28,13.6944383305922,13.8032020950055,0.0922504901584034,0.203219967583412,4.35193880847639,10.0247490799983,-350.090295652473
"29",29,17.6519372202217,14.5780231682643,0.159787465380901,0.362061801114045,4.40616330508152,9.15576639616776,-349.71997900574
"30",30,14.7066664259502,10.6300237875873,0.269302922210365,0.0479534505848564,3.36674245209454,8.99862461562337,-349.379119106052
"31",31,18.2586009096412,10.9698861421886,0.327195285434682,0.436797302687924,2.99841954561411,4.38389216245678,-351.328200919896
"32",32,13.5155012109764,18.3545374735998,0.10267135082949,0.115130271649178,1.55598255295871,4.4678680094937,-352.90820201038
"33",33,21.7294750557996,15.9044272783794,0.227295117635089,0.181537514461844,1.45406969361858,6.1205782313339,-351.72570653732
"34",34,22.0195175742905,15.0763428851908,0.066604353560792,0.0716755905471179,4.34545509158363,9.1743647094177,-350.723857152741
"35",35,13.4396685584293,15.4418971571885,0.0118754610889685,0.0543880348364561,2.7899248036506,3.96802097299876,-351.397256478646
"36",36,22.4977869547324,14.851701768712,0.0492476369030045,0.108016459541766,3.18149380867905,8.03473640932366,-350.067758246353
"37",37,17.7458838129208,12.7490535276578,0.0213714767988303,0.128080672416104,2.6588559744477,9.52838687579153,-349.883931819488
"38",38,18.3554998794653,14.181323153306,0.119639787210487,0.518931496747794,3.47206361634367,6.71705574585444,-348.706726925462
"39",39,17.508027267708,14.4920427175823,0.517076851013349,0.297952237078736,2.27889967348581,6.15772218573619,-348.544227345521
"40",40,15.4375268284925,13.5276219603321,0.519338492282698,0.563997512066342,2.38129739955967,7.32613356404458,-349.571423284853
"41",41,17.3277039513873,13.5562811556452,0.464815352071389,0.51191762015016,4.14951950595874,6.41437206686652,-350.830181872394
"42",42,14.2618310955369,13.6377359365664,1.08492359468605,0.59262054869408,4.95685839859131,15.2117333870941,-355.21833242016
"43",43,17.4628702483866,22.155325579183,0.659482381851884,1.34280510378904,5.39040797306928,13.7330402597668,-358.181009072679
"44",44,17.2600403135341,14.6667186207525,0.127869923923967,1.91495757563738,5.29933295480916,12.7772270715592,-354.471154036106
"45",45,11.4147592346381,14.5191847462611,0.103635042101331,0.236088369563962,5.30822589736311,9.68448008062618,-353.342968941451
"46",46,19.4420597376469,13.9693648047341,0.1940522872368,0.810611055586513,5.24259244879344,10.6829156015799,-352.481598241587
"47",47,13.0732258251628,9.15128451576201,0.135620254151071,0.134802399070593,5.98716541641077,11.5415121914479,-354.125768562394
"48",48,17.0261868132413,14.5798646787167,0.11573839726066,0.534498098755502,6.64472659913705,12.8191803113197,-353.633284674411
"49",49,13.5226246189168,14.5372791910281,1.94223356816743,2.01627964588653,2.77566269622549,11.3292840164755,-357.052259174756
"50",50,15.1795222597052,11.3391632635675,1.40978263156806,0.274742991977278,5.81533763778685,10.0886344568645,-354.718489200353
"51",51,15.5902887513641,11.358770594707,2.07417195915484,0.0786589118433106,2.91058044391728,6.30792837053453,-351.789790778859
"52",52,16.7860115834458,12.7396463807565,1.09118892517689,0.296516099636968,2.20544016085274,5.35542719329203,-349.767958687435
"53",53,14.9722473620851,10.4030714151918,1.68615481133255,1.08284002120125,2.01716431764914,5.81079627834401,-353.266116413089
"54",54,14.3395135954618,14.2532972473526,2.76268531954511,0.119361949709028,2.60949780494097,9.22552326395693,-354.502085688606
"55",55,20.5370673679124,14.596786779827,2.45064947392799,0.227841018337731,5.1142811455805,9.46295654341078,-355.460540584816
"56",56,15.9348198210643,10.3198917440228,2.40889461854874,0.0274692299312289,3.65612711155198,9.94501724879692,-353.815751292609
"57",57,15.4883467087662,16.3394033216216,1.92649761500257,0.0789470363544442,3.99250761456298,9.07460539874986,-353.095865305599
"58",58,12.7178801993316,11.7337947481505,0.403560171118913,0.557402357985974,2.68327827471489,6.13204102213396,-349.923810441677
"59",59,12.4039277754243,12.9252167000476,0.697507005605376,1.54208535624166,2.25670448381804,5.33200466886531,-352.388272122259
"60",60,19.6631006389265,14.0871488487368,0.741033919501627,0.468556578913143,2.20863910975809,5.76904201546814,-349.941160341084
"61",61,19.0287626111012,14.3138535844355,0.546330410454259,0.409628102506635,2.46190304870709,5.35239436628525,-349.070092497859
"62",62,13.6634127611086,10.2746412642173,0.234748688453673,0.138745147077069,2.26011281596874,5.2533369429547,-348.880882718154
"63",63,14.9240957468047,10.9969124597689,0.22801063289404,0.147424754902656,2.95338623194598,7.50268850993784,-348.424084724803
"64",64,14.4131630359527,14.7024610350454,0.462619784615549,1.0681600920737,3.31600271459081,8.09484985590843,-350.823221178163
"65",65,13.7151889292067,15.7321938809682,1.16686771830896,0.944694054889609,3.51227812901433,6.04163303528263,-353.673525930664
"66",66,14.8967807595459,12.1639751963747,1.00148759772753,1.99587603774214,3.08653741729416,7.57054488083601,-352.732091331269
"67",67,18.1632748798956,11.6222839691874,0.603364056702367,0.750181024977128,2.28035090216597,5.03189428662228,-350.464397698539
"68",68,17.0008804094184,17.023595506232,0.100845906083899,0.860149499726303,2.16057462377239,6.13597630830479,-349.961809440133
"69",69,16.2905305528126,16.9175928811296,0.908823743888278,1.3061453629834,3.39700937428799,7.42760345855309,-352.443580844674
"70",70,19.0651896278782,15.8896191619259,0.179589881141245,0.737198025387987,2.73367412735442,6.23439928264623,-349.080639448027
"71",71,15.5354825529973,17.1452724595401,0.0254087509093091,0.794551817131172,1.966624818325,6.49812496064716,-350.863679138317
"72",72,14.6092436626727,16.8427727490945,0.00833550070215796,0.250443463959628,1.99550309154837,4.21097575116441,-350.385025502289
"73",73,16.6444751076566,14.4670614912868,0.441039566184636,0.40250143816807,3.73660569394833,11.8310548408053,-351.785148561063
"74",74,15.1151282318092,14.3788366525983,1.23214832673395,0.73307974123288,3.62942114936319,6.21290667940438,-352.358084639701
"75",75,18.699303082284,10.3143389691703,1.2990384881646,0.801929217730371,3.60044240212479,5.77164514387156,-354.029763704386
"76",76,18.9588917305255,15.747125676311,0.688930643780434,0.449266558171016,3.3951712037112,5.84213189623268,-350.464447303652
"77",77,19.8937293393548,15.9043035721681,0.0628958018433132,0.659648132114129,3.53091610942968,6.85317364953876,-349.489198505624
"78",78,20.9548614839436,16.4588023298588,0.177737137410449,1.03399944867279,3.02478141497284,7.13956553688264,-350.667634177552
"79",79,17.8017230213468,14.9246036695804,0.452289254646191,0.30527124172349,3.38975116503463,6.90146369611297,-348.932504714259
"80",80,13.3584819889273,14.5812702836247,1.10461582458523,0.558085916691442,2.25115928756296,6.20912250616789,-351.47940051571
"81",81,19.4056011985918,13.2375876773913,0.653605731093974,0.313162549654866,2.69585159838534,6.04273477305749,-349.417779221012
"82",82,21.5876882281768,17.9713509429662,0.595441135162939,0.570798491236614,1.8001546341673,4.71668797388312,-351.395981684203
"83",83,18.4638650813233,14.9949757949025,0.326782914367457,0.272472409135771,2.14154705167819,5.33866817645085,-348.219759077102
"84",84,16.5082662849417,14.2869771202067,0.241045717186704,0.202277274681651,1.5884644906797,5.3595033953182,-348.75640422819
"85",85,15.8743431412629,17.7658820806154,0.0472441165287009,0.242039433325149,3.15296372231598,6.29306717913158,-349.78110592626
"86",86,19.7711561026693,14.0640532115113,0.576145383155337,0.400245330145714,3.57103416607263,5.88112646631647,-350.539817188991
"87",87,20.3805043917032,16.2749814831612,0.0338004975248482,0.226543163737791,4.00781175302857,6.479663462578,-349.711791749182
"88",88,18.1749183078099,14.862911515067,0.0477067613372782,0.139997301968863,3.31103964909463,6.70938784193648,-347.659109512191
"89",89,17.3752203920669,15.6145459415825,0.146769013265344,0.400541113229343,3.86276192668624,7.75747825934421,-349.166103060557
"90",90,21.549705017787,16.8622421725619,0.251896944381137,0.336425566981937,3.76483807904065,6.23697845227894,-350.617664765203
"91",91,21.6430457995277,12.5523497229914,0.254972459342296,0.23215953174446,3.01853761925123,7.24168640644909,-350.582845675683
"92",92,22.4247616788267,13.1226204185595,0.545551351095502,2.1442421274899,2.86856112992481,6.40758727825172,-355.208314771305
"93",93,18.2861054698779,13.8713266754981,1.27556283267168,1.86819071244155,2.51738972380764,5.48183980721961,-353.06445706293
"94",94,16.6768467359619,11.407507910127,2.33410358307665,1.47068909660585,2.06936953435855,6.38264952003314,-354.623444486101
"95",95,14.7415989726825,12.4468841702562,3.7151002336586,0.218512164312599,2.07097085004899,4.81553549042838,-354.925189232445
"96",96,19.844753607391,12.5462702338114,2.55496614863032,0.215903687446728,2.22243041962557,7.22305900882234,-353.735750142008
"97",97,12.5513474432313,12.0709340640167,4.13205724141016,0.164503125356377,2.08076560737334,4.37503371942013,-356.673753081607
"98",98,18.9503205300799,12.8425309649304,0.379300540944762,0.186187648249927,2.34597685466945,6.98725361458705,-349.109072182689
"99",99,15.9226414985494,11.8699527866626,0.535386303701567,0.420987385296571,2.50251796739785,4.86885489298959,-349.27828429099
