"","i","asc1","desc1","asc2","desc2","tran12","tran21","p"
"1",1,16.1291815107688,33.5218570389996,11.6853379253056,4.23192367532371,5.81369259545938,2.03933543728427,-362.26420100334
"2",2,15.931139181222,25.0776168904226,2.1319829087271,0.876231760593872,5.90092789456764,3.25283894419267,-339.22820411442
"3",3,34.8128490187309,16.8086405199119,1.26479068925315,1.10459048856669,6.99865343588618,2.8163215248821,-330.169940773243
"4",4,34.3178011938211,26.1738491632878,0.183450825026638,0.625346524747664,6.90196699843444,2.56712143207962,-326.823793909913
"5",5,31.5942363537664,25.2667250223727,0.804463897598224,0.50702780486378,6.43485746408459,3.49468125413132,-327.593665496584
"6",6,33.0503676194983,20.2757518169247,0.145053803597769,0.0163718733133182,14.1823046830045,6.46395704604776,-332.750060052091
"7",7,25.4068038243749,20.7969412225673,0.30365088616329,0.0276319582057671,11.7440529085147,6.70471708872963,-333.015274297406
"8",8,32.446405739125,12.631846349617,0.317357388877579,0.021397570745821,13.0113581873472,4.47643065390407,-331.200597121936
"9",9,33.1815924021674,30.1946391219617,0.430182764507095,0.0906839637219695,12.7973975141635,4.52299196829401,-331.352142732793
"10",10,39.6619456029232,16.6261738437349,0.109911531998762,0.254111291986493,10.5463826446782,2.84529929167838,-329.613533285209
"11",11,22.9063295267136,15.2365707841433,0.764446271885393,0.0862243165759313,11.3282126284621,3.290202809936,-331.300462736076
"12",12,25.3135909298924,14.4444242467519,0.00658204471412817,0.554321237629164,8.06650589185014,2.86019674090997,-328.101051403025
"13",13,28.9472645927897,20.3846875661929,0.0437759458149108,0.144523034751203,7.62665952132704,3.70342187129204,-326.322711590428
"14",14,31.8756192201015,21.343610233126,0.0283783449794428,0.17961856544952,10.4647352297208,3.99326495908885,-327.259376407849
"15",15,34.550606335209,17.4605584175863,0.53219256176582,0.111446393070175,9.78196336751683,3.08136600402617,-327.127717778927
"16",16,23.8738433247543,19.6159022207661,0.395501749173,0.513718977780388,9.6561385685308,3.46469299894423,-328.674514007275
"17",17,37.160033674427,18.7970846981904,0.493530528083904,0.389580252437188,12.4312994352948,3.42308252305195,-329.671219725325
"18",18,37.9310440001603,19.914515270789,0.463967686478802,0.22818301677723,10.6800834118768,2.84316470822924,-328.311239311572
"19",19,45.2842348428101,17.8677980315662,0.506124966149917,0.364476196762271,13.665988709916,4.12535013770091,-334.187310760308
"20",20,45.6598753220075,20.9601239298723,0.459284099895185,0.301490126242551,14.8606685489382,3.08192839161339,-334.840995035659
"21",21,42.3341565221711,24.1427304439341,0.236954090723748,0.37150215884362,6.5685955227887,2.72709260866355,-328.216195139603
"22",22,48.1722111677127,30.0652831901632,0.48967037697867,0.452943632165759,12.5409664899383,3.97458488233908,-334.75108695869
"23",23,26.4907854268836,21.2610826873795,0.877411770200403,0.130787318925418,9.08129615102497,3.56868912849417,-327.222175944348
"24",24,25.4636561443504,17.3400290299018,0.947741199522795,0.39317121504798,5.54216607469792,3.07580086131069,-327.197545938306
"25",25,29.7736284447083,25.1675042179455,0.235555069814151,0.538793951481133,7.19810869791762,3.42797614229942,-327.127974079359
"26",26,28.0184859356951,20.202106164247,0.218975969488696,0.545635742249729,8.10330493642456,3.23259830191894,-326.001481769499
"27",27,36.8764744576483,17.6329951195268,0.740013525338957,0.150590344087375,9.48542443826728,3.75009144661877,-328.440025194115
"28",28,32.9459464752674,18.501599067232,1.06930420513235,0.985235909809574,9.08900401600668,2.38840885707856,-329.732060314809
"29",29,33.2466630026535,21.6936477692651,0.454393134318046,0.371864880171668,8.13157192648298,2.77875498611692,-325.47463239516
"30",30,26.6436237658363,12.8100500152902,0.674595620629977,0.331407012146185,8.09575630750579,2.33313154570301,-328.435332897845
"31",31,31.8006168335326,17.0995054902973,0.156339549603678,0.29765067022362,7.28493545934552,2.40843869731532,-326.02868797478
"32",32,24.2668674546538,14.1760001940847,0.721703644416607,0.95506605490748,5.30791951415539,1.99029356344792,-328.44402211126
"33",33,27.9001986212812,16.260032723026,0.614964046479234,0.529713700133866,4.9523017446823,1.78635510353563,-326.813760603208
"34",34,27.591237826417,16.9678955239214,1.37886886938399,0.751240774517697,6.68375800140509,3.16174169011688,-329.003597120672
"35",35,25.9676688483907,18.2660429065416,0.904714564092271,0.755792953174387,7.17319452537975,2.61145430908825,-327.28993672158
"36",36,30.0617424115888,19.5722548571896,0.153108635412643,0.0428293222362283,7.29822582447883,3.47762939412574,-325.678635902224
"37",37,31.7015245623149,15.7342910276971,0.103305376204149,0.441295067675468,7.05857594217697,3.64718454950247,-327.532590163367
"38",38,31.6916761971116,23.2789871330261,0.549752900838515,0.00569430572505242,7.79025919667697,3.6581854712455,-325.837134439461
"39",39,31.9593020164672,20.2878289906623,0.157506925190347,0.299057478288324,7.42397978579287,1.77597641979397,-327.965041281457
"40",40,34.3900889022693,22.4807018008912,0.64201925109102,0.152920645844004,6.18334883153501,3.62020814890505,-327.168132861541
"41",41,35.6442143582217,16.6649347619091,0.434032875093497,0.381679347375091,6.33100210910274,1.90339146179645,-327.429680561466
"42",42,24.3094023587832,15.4487616922976,0.858167597858133,0.230271937210083,5.84973128281824,1.80434386074858,-328.202532258317
"43",43,26.6565177273857,22.9967062885758,0.641899306821073,0.158557745239493,4.79240710085033,2.01564416920352,-326.842287640712
"44",44,32.9919764361779,20.2583665085651,0.958724788016347,0.0950011854828625,5.83800914888687,1.79591252245026,-327.500280516736
"45",45,32.6763332372682,19.3506985232042,0.724562593692737,0.0844545111931757,5.85001698249401,2.6801452868234,-325.982656915047
"46",46,29.3526346978989,22.3638176267302,0.228212270786352,0.126451880930852,6.86539833187396,4.25432441990791,-327.229121810606
"47",47,33.9233252267677,25.0767966932967,1.35107263676514,0.330193602989799,9.18649119445727,4.00993963695183,-330.067902578523
