"","i","asc1","desc1","asc2","desc2","tran12","tran21","p"
"1",1,10.2360345306806,49.4144620723091,3.05528668609501,3.18052045065939,4.47404645939881,6.72201796598255,-376.763227803652
"2",2,30.7087296736427,21.2010154491891,0.534685178833648,4.26625629623952,8.76709279737944,6.23754198714183,-349.2205610112
"3",3,22.6091905493056,13.9802938768367,0.37349669327018,0.21241903996623,14.7308803272823,5.47888801024975,-336.201453198608
"4",4,39.0607867696852,28.2404850764055,0.566070672944077,0.165783353542522,8.11646226230757,3.87146703787129,-328.861151341722
"5",5,36.667760714071,25.6089609636297,0.695336253144182,0.49538621052441,10.6331083734587,4.34121331298982,-330.658439026799
"6",6,29.825950940808,21.5434809924795,0.402366394812025,0.299137233575061,8.70293077646935,4.07081882097304,-327.001144775117
"7",7,31.4267860612352,21.1293220411064,0.178241177292022,0.0634264494612051,7.99205694470339,2.6506869870465,-326.345618823834
"8",8,29.3329995541522,18.0424795978679,0.459069230119863,0.680993154976157,7.64496609576408,2.79435026717207,-326.128432121285
"9",9,27.044489790741,15.3367192466489,0.514685675734611,0.753177702500605,5.81266720888732,2.31831785511333,-326.611643358685
"10",10,22.5483065455144,15.4271398833949,0.517174842540733,0.6121616822458,5.60010995739917,2.06533763986188,-328.15291433471
"11",11,27.6192022094182,21.3316953982319,1.53833538756929,1.2090870879736,5.97196591645857,2.49853917935959,-330.444268672816
"12",12,32.5822963543229,20.4772799333826,1.24647602110352,0.365065812848424,5.33002855984851,2.67121010844901,-327.496576222579
"13",13,37.6679758178863,20.1405385956026,0.927045426363684,0.319023313530632,9.2216145182758,3.56977086596146,-329.008294125133
"14",14,32.1190583782436,18.1298601919198,0.69477389331071,0.423615336721535,5.69949798817532,2.04319616481704,-326.22853934155
"15",15,27.175235734876,21.0762204899328,0.604155086934519,0.374357348061916,5.14474380893888,2.69856156122193,-326.070873658582
"16",16,26.9657666977086,18.2181151621475,0.870303778969722,0.11621732672655,6.83724517214416,2.4517300213315,-326.482765345111
"17",17,30.2755690568762,22.7184768038206,0.546688923790293,1.21588114841064,6.99084204008508,2.38309106613974,-328.400577136795
"18",18,33.8176385592941,19.0886862698781,0.624247904895235,1.07158450706536,5.25292363165804,2.9217179996804,-328.582994152245
"19",19,25.4875718248661,19.4171669761809,0.671421798521552,1.34274583176946,5.71217981919265,2.17673120275162,-329.148010471954
"20",20,28.3951223294687,14.6072033801739,0.64375199669189,0.431416623342057,5.55934625007534,2.16661622953056,-326.832185602382
"21",21,33.2377165762768,14.3906738599765,0.433354856028102,0.202160773393285,6.49640141393844,2.52560282220316,-327.416128787567
"22",22,32.1326386322982,14.6410971109921,0.840384142651979,0.510482889916246,6.48505864415497,2.57314001541628,-327.446159523774
"23",23,24.6723261240272,14.4968342044336,0.815255257701505,0.46755570089694,5.12145377505342,3.15416665622183,-328.865629456762
"24",24,24.5390516478096,15.037444575759,0.706611783482624,0.199705875772566,5.64825381492082,3.24811043289609,-327.848102142575
"25",25,27.3238189610961,18.6824460010038,0.347924250983311,0.470705035987754,7.1047462840922,3.5862998972978,-326.433167676964
"26",26,26.9719858713351,18.9904309561588,0.578669895038023,0.585134743280919,5.43172936354157,1.51925456268651,-328.016584555239
"27",27,29.0784493185695,20.526810037642,0.931397934855721,0.691386676159594,5.02601059784846,2.82497122785945,-327.451286410204
"28",28,31.9992239955841,22.1323099774782,0.411167804955401,0.193334541669178,4.73146408859103,2.18914281483289,-326.288378743403
"29",29,31.4347340913764,24.9467183093039,0.284494461546592,0.313479942788328,7.79649646378513,4.02616289185882,-327.493032016611
"30",30,32.2464409407253,23.8476193280522,0.407074196974125,0.439124741144105,8.30823233599349,3.41140735399622,-326.548773929837
"31",31,31.1875021371672,20.8553430696381,0.248560070376909,0.065517837804871,10.6691384578405,2.85641575665434,-328.374882502192
"32",32,33.0765919440683,20.1439409507513,0.331975379216259,0.357313601131709,7.13224314939285,2.89228159092977,-325.393359744113
"33",33,29.6287562582129,19.4091468015286,0.592123736823824,0.00534754827595809,6.16641289640346,4.33327914775448,-328.876570631385
"34",34,27.2833196150434,15.7669629000564,0.19033670911213,0.225176899432041,7.05256646680334,2.49067674626766,-326.523208422734
"35",35,24.6021930733486,20.3726150941693,0.701628049127365,0.270133002019134,6.50074097772288,2.57282306366672,-326.600493906453
"36",36,31.9281134185858,23.3219247272478,0.971557660328738,0.579810913575051,5.21733842341134,2.29269143100167,-326.847520143359
"37",37,35.0888239621522,24.0213705685227,0.401459611428143,0.573845863132616,6.02824754242474,2.17207807137715,-326.25135289487
"38",38,36.7985858587638,19.0076214628378,0.42778187669378,0.16530203517349,6.3402671788041,3.80877520363889,-329.115157229881
"39",39,21.3820088068138,17.9955452350219,0.480927702002466,0.0551754570735972,8.6950177019778,3.21122708086976,-329.156687405448
"40",40,27.0770987917291,14.074327339087,0.36371868019483,0.461030643086618,6.95932477101074,2.02095909891635,-327.644601893169
"41",41,33.4763723780393,19.4962112979616,0.933238250041904,0.56923602585723,4.76446434793166,2.13513930647154,-327.231947628491
"42",42,24.7801031814668,19.9432570782087,0.279172522811663,0.787615758784917,6.44791292396707,2.1273274135492,-328.330755777796
"43",43,25.1610054792191,20.6006752649417,0.801855542038933,0.68607045438937,5.79242968340259,2.91212524094629,-327.648130085303
"44",44,32.4794691446525,22.4397816029023,0.165720068884355,0.480618032308263,7.21635866245007,2.7222428712206,-325.881149354996
"45",45,32.6544360497991,19.3908172466123,1.16444436572555,0.426512896421324,6.42966952465793,2.00953272650159,-327.49134640662
"46",46,29.0823124337046,23.4858056837813,0.0577060802951769,0.299795168851855,5.48084435744978,2.57185338149266,-327.743401460261
"47",47,31.8429069031757,23.0094677930945,0.473547701159042,0.263753274570789,7.24275648966234,2.32480566120832,-325.858872652746
"48",48,33.0379226381979,19.9567401503487,1.21489670421512,0.507458067072853,3.76829165772939,1.72145225658801,-329.323321875398
"49",49,30.2666559798709,26.1780201014163,0.651965786373382,0.559655577814567,5.26713070779003,3.26291168437535,-328.440772696004
"50",50,39.2589162478561,19.7672201463644,0.248766064809304,0.848449153634786,6.8410684294425,1.63374019076786,-329.771838972691
"51",51,26.6808702799445,17.2519825802986,0.475276577790284,0.672123170064604,5.95066787399156,3.46742580115762,-327.487513552769
"52",52,30.7578002608237,16.0402614591056,0.277775390395407,0.0672803640845853,9.44200802263269,3.19761330463962,-327.445541797763
"53",53,33.1006703715421,22.4544314290801,1.2506752819353,0.0038824211924532,10.4741035715102,4.41336185171764,-330.348510717219
"54",54,27.2986195394325,15.5886167916449,0.933476489690495,1.00658417773916,8.97167238832836,4.15439266907157,-331.258420408994
"55",55,30.0921258522583,24.1288063505362,0.801204927666356,1.26675269228677,8.30793398869569,4.28103923236514,-332.315622198095
"56",56,33.2998955878212,21.9677251259553,0.906280090102396,1.08754030584018,9.25604126090781,2.37405477358255,-330.426490190299
"57",57,37.3995265696721,24.9373170959387,0.205878496626082,1.19687499472302,4.77298753052545,3.29926501400933,-331.968976936344
"58",58,32.7209899805445,23.0505316799105,0.358316707818174,1.18222793375041,7.66739589148096,2.00860762371712,-329.372339791589
"59",59,29.1008135438256,12.5793966123218,0.991765071582277,0.0447132825925303,6.04968209532545,2.68387761237067,-329.237495046542
"60",60,29.8347738903218,27.3581196580163,0.313276284292512,0.352978529780472,5.30103908421013,2.43197340647038,-327.711469777212
"61",61,37.6827823575377,20.0447997827339,0.756212336593278,0.38217405712868,5.37873963515379,2.07648038414467,-327.552221327208
"62",62,36.2413064432116,24.3353363818866,0.295949678660103,0.60079728424795,5.94525129702681,2.96266502520233,-326.922369348615
"63",63,34.1937805504318,22.1380956904011,0.148324531235809,0.306431337036966,8.8892953876651,3.01066558414767,-326.578521248601
"64",64,33.9981424724895,18.6512250967513,0.154511302057578,0.758492974660498,8.96459624681731,3.26591190851593,-327.485365281516
"65",65,35.7948644085612,16.2922585362331,0.0625673595748674,0.286523034113436,7.35628286017297,3.03284452312986,-328.421195782411
"66",66,28.6726847736228,19.7820934736348,0.278906412467617,0.361166321448112,6.19273524477543,1.77474032421856,-326.971641856548
"67",67,30.6904615946009,19.9792150445386,0.624334145942214,0.123824263640041,6.31257699469725,1.99069361949049,-326.491618598784
"68",68,26.7682399889893,18.4810725542109,0.203030345651679,0.384879922082042,5.26693359969672,2.10772690982778,-326.396037926109
"69",69,30.0325555175219,17.0472035079234,0.513688166794475,0.702654336431822,6.74139822043135,2.75671961058102,-326.057898044905
"70",70,31.8571247872764,26.1220153846438,0.578577444699346,0.708785331927109,5.22091706510624,2.09296830324118,-327.421943178844
"71",71,34.5012669292229,19.1169465561181,0.56022056062646,0.476435175738897,6.51939723966666,2.76481306617995,-326.080937913657
